candidate_id,label,curve,age,value,n_sim,dt,target_tau_cv,tau_cv,tau_sd
HMD,Sweden 2019 HMD,hazard,55.0,0.00295,,,,,
HMD,Sweden 2019 HMD,hazard,56.0,0.00318,,,,,
HMD,Sweden 2019 HMD,hazard,57.0,0.00361,,,,,
HMD,Sweden 2019 HMD,hazard,58.0,0.00357,,,,,
HMD,Sweden 2019 HMD,hazard,59.0,0.00428,,,,,
HMD,Sweden 2019 HMD,hazard,60.0,0.0048,,,,,
HMD,Sweden 2019 HMD,hazard,61.0,0.00541,,,,,
HMD,Sweden 2019 HMD,hazard,62.0,0.0063,,,,,
HMD,Sweden 2019 HMD,hazard,63.0,0.00661,,,,,
HMD,Sweden 2019 HMD,hazard,64.0,0.00705,,,,,
HMD,Sweden 2019 HMD,hazard,65.0,0.008,,,,,
HMD,Sweden 2019 HMD,hazard,66.0,0.00936,,,,,
HMD,Sweden 2019 HMD,hazard,67.0,0.00929,,,,,
HMD,Sweden 2019 HMD,hazard,68.0,0.0114,,,,,
HMD,Sweden 2019 HMD,hazard,69.0,0.01177,,,,,
HMD,Sweden 2019 HMD,hazard,70.0,0.01313,,,,,
HMD,Sweden 2019 HMD,hazard,71.0,0.01401,,,,,
HMD,Sweden 2019 HMD,hazard,72.0,0.01675,,,,,
HMD,Sweden 2019 HMD,hazard,73.0,0.0181,,,,,
HMD,Sweden 2019 HMD,hazard,74.0,0.02037,,,,,
HMD,Sweden 2019 HMD,hazard,75.0,0.02293,,,,,
HMD,Sweden 2019 HMD,hazard,76.0,0.02501,,,,,
HMD,Sweden 2019 HMD,hazard,77.0,0.02782,,,,,
HMD,Sweden 2019 HMD,hazard,78.0,0.03134,,,,,
HMD,Sweden 2019 HMD,hazard,79.0,0.03612,,,,,
HMD,Sweden 2019 HMD,hazard,80.0,0.04089,,,,,
HMD,Sweden 2019 HMD,hazard,81.0,0.04512,,,,,
HMD,Sweden 2019 HMD,hazard,82.0,0.05388,,,,,
HMD,Sweden 2019 HMD,hazard,83.0,0.06085,,,,,
HMD,Sweden 2019 HMD,hazard,84.0,0.06798,,,,,
HMD,Sweden 2019 HMD,hazard,85.0,0.0784,,,,,
HMD,Sweden 2019 HMD,hazard,86.0,0.09248,,,,,
HMD,Sweden 2019 HMD,hazard,87.0,0.10344,,,,,
HMD,Sweden 2019 HMD,hazard,88.0,0.1168,,,,,
HMD,Sweden 2019 HMD,hazard,89.0,0.13126,,,,,
HMD,Sweden 2019 HMD,hazard,90.0,0.15457,,,,,
HMD,Sweden 2019 HMD,hazard,91.0,0.16941,,,,,
HMD,Sweden 2019 HMD,hazard,92.0,0.19681,,,,,
HMD,Sweden 2019 HMD,hazard,93.0,0.21975,,,,,
HMD,Sweden 2019 HMD,hazard,94.0,0.241,,,,,
HMD,Sweden 2019 HMD,hazard,95.0,0.26987,,,,,
HMD,Sweden 2019 HMD,hazard,96.0,0.29935,,,,,
HMD,Sweden 2019 HMD,hazard,97.0,0.33062,,,,,
HMD,Sweden 2019 HMD,hazard,98.0,0.36349,,,,,
HMD,Sweden 2019 HMD,hazard,99.0,0.39775,,,,,
HMD,Sweden 2019 HMD,hazard,100.0,0.43311,,,,,
profile_tau_sd_0.025,2.5% heterogeneity,hazard,55.0,0.002794715710132,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,56.0,0.0023661196571617,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,57.0,0.0031534381842856,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,58.0,0.0032470346012777,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,59.0,0.0039502250685264,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,60.0,0.0044505983582237,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,61.0,0.0052439050176558,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,62.0,0.0050591473848671,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,63.0,0.0062655368741813,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,64.0,0.006642622597836,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,65.0,0.0080828201556241,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,66.0,0.0098063465449045,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,67.0,0.0113200580595165,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,68.0,0.0126821237972112,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,69.0,0.0139929389477309,1000000.0,0.1,0.025,0.0250039067586724,0.025
profile_tau_sd_0.025,2.5% heterogeneity,hazard,70.0,0.0159272658691917,1000000.0,0.1,0.025,0.0250039067586724,0.025
